Date,Cash,Holdings,Total Assets
2008-10-28,511200.7284284085,335306.7201896757,846507.4486180842
2008-10-29,509629.43584506214,338026.9617166817,847656.3975617439
2008-10-30,508368.07906119525,348952.0748016387,857320.153862834
2008-10-31,506769.80059580505,357721.8082662523,864491.6088620573
2008-11-03,505600.83318547904,359511.49335744977,865112.3265429288
2008-11-04,505248.43433098495,372582.45451678336,877830.8888477683
2008-11-05,505031.22770129144,352028.1201939285,857059.3478952199
2008-11-06,504968.3244944662,334114.66274890304,839082.9872433692
2008-11-07,504968.3244944662,342232.5342490971,847200.8587435633
2008-11-10,504940.9715243429,333200.565933004,838141.5374573469
2008-11-11,504900.3652635664,325369.0246746689,830269.3899382353
2008-11-12,504900.3652635664,307249.06907992065,812149.434343487
2008-11-13,504900.3652635664,330283.0672902465,835183.4325538129
2008-11-14,504381.32345972955,316470.0691033006,820851.3925630301
2008-11-17,504282.3007875532,307662.8303671926,811945.1311547458
2008-11-18,504268.2168546766,308290.2534735948,812558.4703282714
2008-11-19,504163.67942772806,286059.6695083976,790223.3489361256
2008-11-20,504154.44589959085,268525.96413864195,772680.4100382328
2008-11-21,504084.4959026426,283974.8416478336,788059.3375504762
2008-11-24,503610.78777091205,306474.6579116881,810085.4456826001
2008-11-25,502238.8954219073,313389.166897431,815628.0623193383
2008-11-26,500307.16199086607,328961.1242341846,829268.2862250507
2008-11-28,499044.58309464157,333762.54046833515,832807.1235629767
2008-12-01,498285.3981832713,300782.03112384677,799067.429307118
2008-12-02,498285.3981832713,313558.8545335829,811844.2527168542
2008-12-03,497999.413252756,323896.3165848255,821895.7298375815
2008-12-04,497617.64513115585,317167.88699635863,814785.5321275145
2008-12-05,497424.9174949378,332504.7141921818,829929.6316871196
2008-12-08,496907.52064053714,345042.10694909096,841949.6275896281
2008-12-09,496683.16468040645,335405.6327471733,832088.7974275798
2008-12-10,496617.2260531634,341618.40037083626,838235.6264239997
2008-12-11,496457.1780525893,327744.8507306278,824202.0287832171
2008-12-12,496409.4242016524,331579.3529546261,827988.7771562785
2008-12-15,496381.5158664435,325556.4157731533,821937.9316395968
2008-12-16,496342.38816563785,346820.09221047163,843162.4803761095
2008-12-17,496007.74210850894,347627.7056351304,843635.4477436393
2008-12-18,495739.5397938937,343223.57664597034,838963.116439864
2008-12-19,495689.7423142642,344096.9795013368,839786.721815601
2008-12-22,495589.45999471843,336798.88972106576,832388.3497157842
2008-12-23,495480.48062197864,333691.22101941705,829171.7016413957
2008-12-24,495480.48062197864,335424.05485486984,830904.5354768485
2008-12-26,495435.6219202727,338066.3598062694,833501.9817265421
2008-12-29,495307.32372920215,334715.6731687784,830022.9968979806
2008-12-30,495199.59914557636,344671.37043872476,839870.9695843011
2008-12-31,494704.4603110999,352326.1693406701,847030.62965177
2009-01-02,493501.443830654,362444.0864159763,855945.5302466303
2009-01-05,492656.20414718986,363997.91952066123,856654.1236678511
2009-01-06,491959.3841803372,369245.3716483712,861204.7558287084
2009-01-07,491810.16592386365,357960.199450776,849770.3653746396
2009-01-08,491810.16592386365,359948.7408171892,851758.9067410529
2009-01-09,491789.29756978154,351554.2070835382,843343.5046533197
2009-01-12,491789.29756978154,341056.5513857156,832845.8489554971
2009-01-13,491781.6183972657,342725.6228623092,834507.2412595749
2009-01-14,491652.3794837296,330152.95809210837,821805.337575838
