ticker,rows,trades,load_s,signal_s,sim_s,total_s
CRL,5013,763,0.001201299999593175,0.0012850000002799788,0.16233660000034433,0.1648229000002175
CRM,5013,773,0.001375499999994645,0.0012938999998368672,0.16233130000000529,0.1650006999998368
CSCO,5013,761,0.0014489000004687114,0.0013403000002654153,0.16195609999977023,0.16474530000050436
CSGP,5013,755,0.0012962000000698026,0.0012751000003845547,0.16394360000049346,0.16651490000094782
CSX,5013,801,0.0011647000001175911,0.001277700000173354,0.1608525000001464,0.16329490000043734
CTAS,5013,796,0.0014173000008668168,0.0013853000000381144,0.16097669999999198,0.1637793000008969
CTRA,5013,801,0.0012509999996836996,0.0012764000002789544,0.16172759999972186,0.16425499999968451
CTSH,5013,763,0.0011880000001838198,0.0012439000001904787,0.1627186999994592,0.1651505999998335
CVS,5013,762,0.0010722000006353483,0.00120489999972051,0.15991609999946377,0.16219319999981963
CVX,5013,836,0.001166499999271764,0.0012365000002318993,0.16250940000008995,0.16491239999959362
CZR,2567,417,0.0011102000007667812,0.0011815999996542814,0.06876459999966755,0.07105640000008862
D,5013,823,0.0009684000006018323,0.0011672000000544358,0.16166359999988344,0.1637992000005397
DAL,4427,703,0.0012856000003012014,0.0012475000003178138,0.11904880000020057,0.12158190000081959
DD,5013,774,0.0012472999997044099,0.0013073999998596264,0.16271359999973356,0.1652682999992976
DE,5013,798,0.001133700000536919,0.0012374999996609404,0.16053259999989677,0.16290380000009463
DECK,5013,795,0.0013226999999460531,0.0012858999998570653,0.16286260000015318,0.1654711999999563
DG,3787,562,0.0010816999993039644,0.0011736999995264341,0.10345219999999244,0.10570759999882284
DGX,5013,748,0.0011271000003034715,0.0012162000002717832,0.16043329999956768,0.16277660000014293
DHI,5013,796,0.001332400000137568,0.0012837999993280391,0.1599341999999524,0.162550399999418
DHR,5013,779,0.0014564999992217054,0.0013123999997333158,0.16131330000007438,0.1640821999990294
DIS,5013,784,0.00117950000003475,0.0012346000003162771,0.16270729999996547,0.1651214000003165
DLR,5013,829,0.0011614000004556146,0.001246799999535142,0.16268339999987802,0.16509159999986878
DLTR,5013,753,0.0012085999996997998,0.0013461000007737312,0.16148830000020098,0.1640430000006745
DOC,5013,809,0.0011731000004147063,0.0012587999999595922,0.16381019999971613,0.16624210000009043
DOV,5013,795,0.0015750000002299203,0.0013767999998890446,0.1611892999999327,0.16414110000005167
DPZ,5013,773,0.001479099999414757,0.0013542999995479477,0.16166049999992538,0.16449389999888808
DRI,5013,751,0.0016299000008075382,0.0013681000000360655,0.16139560000010533,0.16439360000094894
DTE,5013,822,0.0012560999994093436,0.0012901999998575775,0.1619886000007682,0.16453490000003512
DUK,5013,839,0.001385699999445933,0.0013789000004180707,0.16269680000004882,0.16546139999991283
DVA,5013,716,0.0011639000003924593,0.001273599999876751,0.16161780000038561,0.16405530000065482
DVN,5013,808,0.0011233000004722271,0.0012429000007614377,0.1622969000000012,0.16466310000123485
DXCM,4943,711,0.0013920000001235167,0.0013042999999015592,0.13359250000030443,0.1362888000003295
EA,5013,759,0.0013777000003756257,0.001351799999611103,0.1598468000001958,0.16257630000018253
EBAY,5013,747,0.0011819999999715947,0.0012433000001692562,0.16035120000015013,0.16277650000029098
ECL,5013,799,0.001358299999992596,0.001294900000175403,0.16194559999985358,0.16459880000002158
ED,5013,828,0.0012894000001324457,0.0013080999997328036,0.1609693000000334,0.16356679999989865
EFX,5013,777,0.0011564999995243852,0.0012391999998726533,0.16048159999991185,0.1628772999993089
EG,5013,795,0.0011807999999291496,0.0012560999994093436,0.1625053999996453,0.1649422999989838
EIX,5013,810,0.0012005999997199979,0.0013470000003508176,0.16296499999953085,0.16551259999960166
EL,5013,735,0.0012395000003380119,0.0013045999994574231,0.16250189999936993,0.16504599999916536
ELV,5013,779,0.0013384000003497931,0.0013159999998606509,0.16169459999946412,0.16434899999967456
EMN,5013,762,0.0012888999999631778,0.001289300000280491,0.16214620000027935,0.16472440000052302
EMR,5013,779,0.0015225000006466871,0.0013678000004802016,0.16214920000038546,0.16503950000151235
ENPH,3189,457,0.0011970000005021575,0.001276500000130909,0.08682500000031723,0.0892985000009503
EOG,5013,839,0.001113499999519263,0.0012055999995936872,0.16136290000031295,0.1636819999994259
EPAM,3225,507,0.0010738000000856118,0.001110799999878509,0.08775920000061888,0.089943800000583
EQIX,5013,799,0.0010985999997501494,0.0011936999999306863,0.16208629999982804,0.16437859999950888
EQR,5013,837,0.00126780000027793,0.0012876999999207328,0.1631969999998546,0.16575250000005326
EQT,5013,812,0.0015530999999100459,0.0013435999999273918,0.1613163000001805,0.16421300000001793
ERIE,5013,772,0.0012034999999741558,0.0012747999999191961,0.16219199999977718,0.16467029999967053
ES,5013,842,0.0012916000005134265,0.0012802000001101987,0.1616239000004498,0.16419570000107342
ESS,5013,833,0.0011829999994006357,0.0013140999999450287,0.16179060000013123,0.1642876999994769
ETN,5013,784,0.0012581999999383697,0.001280600000427512,0.16255379999984143,0.1650926000002073
ETR,5013,818,0.0011154000003443798,0.001250899999831745,0.1613441999998031,0.16371049999997922
EVRG,5013,841,0.0012649999998757266,0.0012812000004487345,0.16259210000043822,0.16513830000076268
EW,5013,714,0.001336500000434171,0.0012993999998798245,0.16333829999985028,0.16597420000016427
EXC,5013,805,0.0011590000003707246,0.001258399999642279,0.16349850000005972,0.16591590000007272
EXPD,5013,803,0.0012527999997473671,0.0012393999995765625,0.16386280000006082,0.16635499999938475
EXPE,4875,721,0.0012478999997256324,0.0013842999996995786,0.13237310000022262,0.13500529999964783
EXR,5013,828,0.0012114999999539577,0.0012493999993239413,0.1614161999996213,0.1638770999988992
F,5013,750,0.0012848000005760696,0.001267599999664526,0.16106219999983296,0.16361460000007355
FANG,3053,510,0.0010689999999158317,0.0011771999998018146,0.08208250000006956,0.0843286999997872
FAST,5013,758,0.0009898999996948987,0.0011905999999726191,0.1617249000000811,0.16390539999974862
FCX,5013,797,0.0011868000001413748,0.0012059000000590459,0.16309869999986404,0.16549140000006446
FDS,5013,785,0.001110500000322645,0.0012406999994709622,0.1619423000001916,0.16429349999998522
FDX,5013,761,0.0011893000000782195,0.0012501999999585678,0.16065439999965747,0.16309389999969426
FE,5013,772,0.0011900999998033512,0.0012680999998337938,0.16289839999990363,0.16535659999954078
FFIV,5013,716,0.0010531000007176772,0.0012453999997887877,0.16108449999956065,0.1633830000000671
FI,5013,808,0.0011314000003039837,0.0012225000000398722,0.1625463000000309,0.16490020000037475
FICO,5013,778,0.0012329000001045642,0.0013271999996504746,0.1623758000005182,0.16493590000027325
FIS,5013,749,0.001141700000516721,0.0012370999993436271,0.1631961000002775,0.16557490000013786
FITB,5013,785,0.001114900000175112,0.0012602000006154412,0.16106609999951615,0.1634412000003067
FMC,5013,745,0.0012858999998570653,0.0012829999996029073,0.1629480000001422,0.16551689999960217
FRT,5013,823,0.0012920999997731997,0.0012445000002117013,0.16054989999975078,0.16308649999973568
FSLR,4539,631,0.0011971000003541121,0.0012005999997199979,0.12313759999960894,0.12553529999968305
FTNT,3784,561,0.0010924000007435097,0.0011708000001817709,0.10140320000027714,0.10366640000120242
GD,5013,811,0.001070899999831454,0.0012317999999140739,0.16222519999973883,0.16452789999948436
GE,5013,750,0.0012656999997489038,0.0012974999999642023,0.16043840000020282,0.16300159999991592
GEN,5013,722,0.0013754000001426903,0.0012635000002774177,0.16103800000018964,0.16367690000060975
GILD,5013,768,0.0011681999994834769,0.001212899999700312,0.1621116999995138,0.1644927999986976
GIS,5013,741,0.0012016000000585336,0.001262200000383018,0.16107210000063787,0.16353590000107943
GL,5013,825,0.0012023999997836654,0.001247700000021723,0.16316970000025321,0.1656198000000586
GLW,5013,750,0.0012618000000657048,0.0012809000008928706,0.16446910000013304,0.16701180000109161
GM,3532,512,0.001113700000132667,0.001170599999568367,0.09511059999931604,0.09739489999901707
GNRC,3727,562,0.0015531999997620005,0.0012576999997691019,0.10013489999982994,0.10294579999936104
GOOG,5013,788,0.0010179999999309075,0.0011743999993996113,0.16252960000019812,0.16472199999952863
GOOGL,5013,782,0.0013371000004553935,0.0012912000001961133,0.1604860000006738,0.16311430000132532
GPC,5013,783,0.0011440999996921164,0.0012206999999762047,0.16369099999974424,0.16605579999941256
GPN,5013,754,0.0012501999999585678,0.0013786999998046667,0.1608483999998498,0.16347729999961302
GRMN,5013,776,0.001341600000159815,0.0012593999999808148,0.16114759999982198,0.1637485999999626
GS,5013,822,0.0012614999996003462,0.0012802999999621534,0.16187489999992977,0.16441669999949227
GWW,5013,765,0.0013226000000940985,0.0014613000003009802,0.16054330000042683,0.1633272000008219
HAL,5013,801,0.0014822000002823188,0.0013492999996742583,0.16183189999992464,0.16466339999988122
HAS,5013,734,0.00119760000052338,0.0012473000006139046,0.16528569999991305,0.16773060000105033
HBAN,5013,792,0.0016487000002598506,0.001567300000715477,0.16101309999976365,0.16422910000073898
HCA,3456,540,0.001150699999925564,0.0011309000001347158,0.09358120000069903,0.09586280000075931
HD,5013,822,0.001136199999564269,0.0012537000002339482,0.16208910000023025,0.16447900000002846
HIG,5013,791,0.0010544000006120768,0.0012213999998493819,0.16126439999970898,0.16354020000017044
HII,3448,525,0.0011573000001590117,0.0011823999993794132,0.09270139999989624,0.09504109999943466
HLT,2761,448,0.0010956000005535316,0.00112500000068394,0.07527250000021013,0.0774931000014476
HOLX,5013,740,0.0009399000000485103,0.0011630999997578328,0.16154249999999593,0.16364549999980227
HON,5013,809,0.0013718999998673098,0.0012923000003866036,0.16228289999980916,0.16494710000006307
HPQ,5013,773,0.0011900999998033512,0.0012433000001692562,0.16115309999986493,0.16358649999983754
HRL,5013,734,0.0012517000004663714,0.0012896000007458497,0.16054929999972956,0.16309060000094178
HSIC,5013,785,0.0010879000001295935,0.0012313999995967606,0.1614424000008512,0.16376170000057755
HST,5013,812,0.0012808000001314213,0.0012576999997691019,0.1632061000000249,0.1657445999999254
HSY,5013,772,0.0013799000007566065,0.0012804999996660626,0.16129079999973328,0.16395120000015595
HUBB,5013,794,0.0012471999998524552,0.001266300000679621,0.16243420000046171,0.1649477000009938
HUM,5013,748,0.001320800000030431,0.0013092999997752486,0.16214829999989888,0.16477839999970456
IBM,5013,756,0.001187200000458688,0.0012446999999156105,0.16152950000014243,0.16396140000051673
ICE,4792,763,0.0011883999995916383,0.001221800000166695,0.1284269999996468,0.13083719999940513
IDXX,5013,782,0.0012989999995625112,0.001343799999631301,0.16305969999939407,0.16570249999858788
IEX,5013,823,0.001136400000177673,0.001255700000001525,0.1661893999998938,0.168581500000073
