ticker,rows,trades,load_s,signal_s,sim_s,total_s
CTAS,5032,3452,0.0012255999999979394,0.0011227999993934645,0.16133520000039425,0.16368359999978566
CTRA,5032,2861,0.0011600000007092603,0.0012882999999419553,0.161634299999605,0.1640826000002562
CTSH,5032,3069,0.0011791999995693914,0.0011230000000068685,0.16384970000035537,0.16615189999993163
CVS,5032,2932,0.0012606999998752144,0.0011362999994162237,0.1615447000003769,0.16394169999966834
CVX,5032,2902,0.0011746000000130152,0.0011063000001740875,0.16181440000036673,0.16409530000055383
CZR,2586,1569,0.00107060000027559,0.0009978999996747007,0.07022030000007362,0.07228880000002391
D,5032,3149,0.0010121000004801317,0.0010403000005680951,0.16141130000050907,0.1634637000015573
DAL,4446,2485,0.0011279999998805579,0.0010806000000229687,0.11970300000029965,0.12191160000020318
DD,5032,2837,0.001180400000521331,0.0011317999997118022,0.16355099999964295,0.1658631999998761
DE,5032,2997,0.001066799999534851,0.001086100000065926,0.16447109999990062,0.1666239999995014
DECK,5032,3107,0.0012526999998954125,0.001166400000329304,0.1616108999996868,0.16402999999991152
DG,3806,2332,0.0011445000000094296,0.001048300000547897,0.10264960000040446,0.10484240000096179
DGX,5032,3020,0.001009399999929883,0.0010656999993443605,0.1618973000004189,0.16397239999969315
DHI,5032,2902,0.0012405999996190076,0.0011168999999426887,0.16174669999963953,0.16410419999920123
DHR,5032,3233,0.001193799999782641,0.001113700000132667,0.16380059999937657,0.16610809999929188
DIS,5032,2894,0.000995399999737856,0.0010629000007611467,0.16336239999964164,0.16542070000014064
DLR,5032,3288,0.0013516999997591483,0.0013202000000092085,0.16321340000013151,0.16588529999989987
DLTR,5032,3054,0.0014449999998760177,0.001269000000320375,0.16275729999961186,0.16547129999980825
DOC,5032,3018,0.0012205000002722954,0.0012181000001874054,0.16188359999978275,0.16432220000024245
DOV,5032,3212,0.001201500000206579,0.0011154000003443798,0.1625136000002385,0.16483050000078947
DPZ,5032,3349,0.0011936000000787317,0.001123600000028091,0.16154980000010255,0.16386700000020937
DRI,5032,3008,0.0013307999997778097,0.0011435000005803886,0.16312290000041685,0.16559720000077505
DTE,5032,3227,0.001301400000556896,0.0011905999999726191,0.16279170000052545,0.16528370000105497
DUK,5032,3247,0.0014876000004733214,0.001206300000376359,0.16125520000059623,0.1639491000014459
DVA,5032,3035,0.0015889000005699927,0.0012501000001066132,0.16483229999994364,0.16767130000062025
DVN,5032,2638,0.0015789999997650739,0.0012788000003638444,0.163061999999627,0.16591979999975592
DXCM,4962,3030,0.0011132999998153537,0.0010607000003801659,0.1331202999999732,0.13529430000016873
EA,5032,2816,0.0011566000002858345,0.0011299999996481347,0.16329969999969762,0.1655862999996316
EBAY,5032,2744,0.0010526000005484093,0.001089000000320084,0.1618706999997812,0.1640123000006497
ECL,5032,3066,0.0012026999993395293,0.0012585000004037283,0.16287740000007034,0.1653385999998136
ED,5032,3133,0.001239000000168744,0.0011414000000513624,0.1640413000004628,0.1664217000006829
EFX,5032,3176,0.001446399999622372,0.0011921999994228827,0.16215339999962453,0.16479199999866978
EG,5032,2962,0.0011794000001827953,0.001139099999818427,0.16222649999963323,0.16454499999963446
EIX,5032,2992,0.0013564999999289284,0.0011871000006067334,0.16381679999994958,0.16636040000048524
EL,5032,3083,0.001150999999481428,0.0011236999998800457,0.16100079999978334,0.1632754999991448
ELV,5032,3226,0.0012230000002091401,0.0012439000001904787,0.1649355999998079,0.1674025000002075
EMN,5032,2916,0.0012802000001101987,0.0012478999997256324,0.16267040000002453,0.16519849999986036
EMR,5032,3017,0.0014845999994577141,0.0012340000002950546,0.1637096999993446,0.16642829999909736
ENPH,3208,1632,0.0013078000001769396,0.0010497000002942514,0.08644559999993362,0.08880310000040481
EOG,5032,2923,0.0011024999994333484,0.0011061000004701782,0.16175829999974667,0.1639668999996502
EPAM,3244,2061,0.0011650999995254097,0.0010153999992326135,0.0872163999993063,0.08939689999806433
EQIX,5032,3207,0.0009792999999262975,0.0010470999995959573,0.16407540000000154,0.1661017999995238
EQR,5032,3086,0.0011449000003267429,0.0010933000003205962,0.16184049999992567,0.164078700000573
EQT,5032,2779,0.0012882999999419553,0.0011718999994627666,0.16120610000052693,0.16366629999993165
ERIE,5032,3032,0.0010971000001518405,0.0011188000007678056,0.16329159999986587,0.1655075000007855
ES,5032,3096,0.0014416000003620866,0.001209999999446154,0.16437039999982517,0.1670219999996334
ESS,5032,3167,0.0012058000002070912,0.0012031999995087972,0.16033389999938663,0.16274289999910252
ETN,5032,3158,0.001079800000297837,0.0011217999999644235,0.16155939999953262,0.16376099999979488
ETR,5032,3031,0.0011909000004379777,0.0011217999999644235,0.16165240000009362,0.16396510000049602
EVRG,5032,3274,0.0012004000000160886,0.0011058999998567742,0.16380320000007487,0.16610949999994773
EW,5032,3099,0.0011240999992878642,0.001117000000704138,0.16410200000063924,0.16634310000063124
EXC,5032,2950,0.0013313999997990322,0.0013948999994681799,0.1615738999998939,0.16430019999916112
EXPD,5032,2854,0.0015779999994265381,0.0012800000004062895,0.16164910000043164,0.16450710000026447
EXPE,4894,2828,0.0012249000001247623,0.0013538000002881745,0.1306072999996104,0.13318600000002334
EXR,5032,3246,0.0012784999998984858,0.001146800000242365,0.1617777000001297,0.16420300000027055
F,5032,2564,0.0012742000008074683,0.0011391999996703817,0.1645462000005864,0.16695960000106425
FANG,3072,1836,0.0013263000000733882,0.0011592000000746339,0.08340610000050219,0.08589160000065021
FAST,5032,2926,0.0010907999994742568,0.0010898000000452157,0.16247329999987414,0.16465389999939362
FCX,5032,2751,0.0010984999998981948,0.001097700000173063,0.16120369999953255,0.1633998999996038
FDS,5032,3141,0.001071800000318035,0.0010884000002988614,0.16212309999991703,0.16428330000053393
FDX,5032,2775,0.0012035999998261104,0.0011257000005571172,0.16183129999990342,0.16416060000028665
FE,5032,3042,0.0012778999998772633,0.0011474000002635876,0.16363780000028783,0.16606310000042868
FFIV,5032,2932,0.0014833999994152691,0.0012071999999534455,0.1625146999995195,0.16520529999888822
FI,5032,3383,0.0012406999994709622,0.001198899999508285,0.16457999999965978,0.16701959999863902
FICO,5032,3228,0.0011365000000296277,0.0011143000001538894,0.16192030000001978,0.1641711000002033
FIS,5032,3217,0.0011237999997320003,0.001101800000469666,0.16178120000040508,0.16400680000060675
FITB,5032,2855,0.0012509999996836996,0.0011979999999311985,0.16090559999975085,0.16335459999936575
FMC,5032,3005,0.0010743000002548797,0.0010961999996652594,0.16339259999949718,0.16556309999941732
FRT,5032,3076,0.0012136000004829839,0.0011285000000498258,0.16201100000034785,0.16435310000088066
FSLR,4558,2421,0.0011841000005006208,0.0011514999996506958,0.12300920000052429,0.1253448000006756
FTNT,3803,2421,0.0010437000000820262,0.0010090999994645244,0.10213419999945472,0.10418699999900127
GD,5032,3274,0.0011838000000352622,0.0011240000003454043,0.1622810999997455,0.16458890000012616
GE,5032,2724,0.0010918999996647472,0.0011246000003666268,0.16205269999954908,0.16426919999958045
GEN,5032,2666,0.0011752000000342377,0.0011260999999649357,0.16303599999992002,0.1653372999999192
GILD,5032,2902,0.0012476000001697685,0.0011721000000761705,0.16251069999998435,0.1649304000002303
GIS,5032,3135,0.001299999999901047,0.001146100000369188,0.1616593999997349,0.16410550000000512
GL,5032,3338,0.0011631000006673275,0.0010984000000462402,0.1617659999992611,0.16402749999997468
GLW,5032,2895,0.0011398000006010989,0.0010954999997920822,0.1625701000002664,0.16480540000065957
GM,3551,1876,0.001169099999970058,0.001053900000442809,0.09486239999932877,0.09708539999974164
GNRC,3746,2301,0.0011451999998826068,0.0010993999994752812,0.10028479999982665,0.10252939999918453
GOOG,5032,3114,0.0010494999996808474,0.0010695000000850996,0.16238290000001143,0.16450189999977738
